日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA60,EMA12,EMA26,MACD,Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower
2024-02-21,600519,1559.7,1611.34,1624.68,1555.68,46154,7868784082.0,4.41,3.05,47.66,0.37,1593.6960000000001,1555.383,1536.941,,1563.454588391224,1551.9917541999766,11.462834191247339,0.729653592293869,10.73318059895347,65.62883644796068,1536.941,1617.6894809438347,1456.1925190561653
2024-02-22,600519,1601.18,1612.06,1616.69,1594.21,22794,3905984695.0,1.4,0.04,0.72,0.18,1595.174,1566.73,1544.01,,1570.9323440233434,1556.4412538888673,14.491090134476053,3.481940900730306,11.009149233745747,64.25379486451976,1544.01,1625.0875267714082,1462.9324732285918
2024-02-23,600519,1604.79,1607.77,1618.06,1593.7,27306,4670706950.0,1.51,-0.27,-4.29,0.22,1596.792,1577.136,1549.1709999999998,,1576.59967571206,1560.2433832304328,16.35629248162718,6.056811216909681,10.299481264717498,63.44153797667821,1549.1709999999998,1632.7740256062918,1465.5679743937078
2024-02-26,600519,1601.68,1588.66,1602.42,1578.7,27318,4625594409.0,1.48,-1.19,-19.11,0.22,1596.702,1587.034,1552.17,,1578.4551102178968,1562.3483178059564,16.106792411940432,8.066807455915832,8.0399849560246,57.702054794520556,1552.17,1636.9726600873744,1467.3673399126258
2024-02-27,600519,1576.68,1583.18,1586.6,1571.68,22080,3718478358.0,0.94,-0.34,-5.48,0.18,1600.602,1592.983,1554.5449999999998,,1579.1820163382204,1563.8914053758856,15.290610962334767,9.51156815719962,5.779042805135148,64.68442874692875,1554.5449999999998,1640.0607363173276,1469.029263682672
2024-02-28,600519,1582.6,1575.23,1590.25,1567.69,31867,5371312847.0,1.42,-0.5,-7.95,0.25,1593.3799999999999,1593.538,1557.6725000000001,,1578.574013824648,1564.7313012739683,13.842712550679835,10.377797035895663,3.464915514784172,64.71921333640626,1557.6725000000001,1641.2957608976587,1474.0492391023415
2024-02-29,600519,1575.23,1588.68,1590.18,1572.88,24758,4184917973.0,1.1,0.85,13.45,0.2,1588.7040000000002,1591.9389999999999,1561.1225,,1580.1287809285484,1566.505278957378,13.623501971170299,11.026938022950592,2.596563948219707,65.81307924219304,1561.1225,1643.8344559549569,1478.410544045043
2024-03-01,600519,1583.68,1578.74,1588.65,1570.36,26868,4526845398.0,1.15,-0.63,-9.94,0.21,1582.898,1589.8449999999998,1563.4755,,1579.9151223241563,1567.411554590165,12.503567733991304,11.322263965158735,1.181303768832569,66.83044825761584,1563.4755,1645.3339203880155,1481.6170796119845
2024-03-04,600519,1572.68,1569.98,1574.67,1563.73,26485,4434401015.0,0.69,-0.55,-8.76,0.21,1579.162,1587.932,1565.4245,,1578.3866419665937,1567.6018098057084,10.784832160885344,11.214777604304057,-0.4299454434187133,59.67074750344712,1565.4245,1645.8712566256029,1484.9777433743973
2024-03-05,600519,1564.49,1588.78,1590.68,1560.36,36238,6102136582.0,1.93,1.2,18.8,0.29,1580.282,1590.442,1567.6795000000002,,1579.9856201255793,1569.170564634915,10.815055490664236,11.134833181576093,-0.3197776909118577,54.50174413123407,1567.6795000000002,1648.0882435609628,1487.2707564390375
2024-03-06,600519,1584.68,1574.23,1588.68,1571.7,22142,3725582802.0,1.07,-0.92,-14.55,0.18,1580.0819999999999,1586.731,1571.0570000000002,,1579.1001401062595,1569.5453376249213,9.554802481338129,10.8188270415285,-1.2640245601903715,42.06051121544077,1571.0570000000002,1646.178317487466,1495.9356825125344
2024-03-07,600519,1573.68,1577.31,1583.48,1571.68,21599,3633934774.0,0.75,0.2,3.08,0.17,1577.808,1583.256,1574.993,,1578.8247339360657,1570.1204978008532,8.704236135212568,10.395908860265314,-1.6916727250527455,44.10664418567887,1574.993,1641.930599566981,1508.0554004330188
2024-03-08,600519,1574.24,1565.11,1580.36,1563.73,22156,3710678522.0,1.05,-0.77,-12.2,0.18,1575.0819999999999,1578.99,1578.0629999999999,,1576.7147748689788,1569.7493498156048,6.96542505337402,9.709812098887056,-2.7443870455130366,43.731062584891845,1578.0629999999999,1636.3019998106715,1519.8240001893282
2024-03-11,600519,1568.68,1588.17,1592.56,1566.86,29895,5048394347.0,1.64,1.47,23.06,0.24,1578.7199999999998,1578.941,1582.9875000000002,,1578.4771171968282,1571.1138424218564,7.363274774971842,9.240504634104013,-1.8772298591321714,56.477122454377145,1582.9875000000002,1623.8120101172797,1542.1629898827207
2024-03-12,600519,1587.62,1638.68,1642.78,1584.18,54227,9393309052.0,3.69,3.18,50.51,0.43,1588.7,1584.491,1588.7369999999999,,1587.739099166547,1576.1187429832005,11.62035618334653,9.716474943952518,1.9038812393940123,57.12350182386663,1588.7369999999999,1626.6867424441723,1550.7872575558274
2024-03-13,600519,1633.65,1621.13,1641.68,1613.78,26500,4588879420.0,1.7,-1.07,-17.55,0.21,1598.0800000000002,1589.0810000000001,1591.3094999999998,,1592.8761608332322,1579.4529101696303,13.423250663601948,10.457830087882403,2.965420575719545,52.17266324917362,1591.3094999999998,1630.7654076892045,1551.8535923107952
2024-03-14,600519,1612.68,1610.31,1628.52,1605.18,19405,3338768308.0,1.44,-0.67,-10.82,0.15,1604.6799999999998,1591.2440000000001,1591.5915,,1595.558289935812,1581.7386205274354,13.819669408376512,11.130197951981225,2.689471456395287,50.58998420514725,1591.5915,1631.5271763202777,1551.6558236797223
2024-03-15,600519,1606.18,1611.17,1626.08,1605.68,17834,3066692399.0,1.27,0.05,0.86,0.14,1613.8920000000003,1594.487,1592.166,,1597.9600914841485,1583.9187227105883,14.04136877356018,11.712432116297018,2.328936657263162,55.712907974214495,1592.166,1632.91392724467,1551.4180727553298
